NAME,RESTAURANT NAME,CALORIES,CATEGORY,PRICE ,ALLERGENS 1,ALLERGENS 2,ALLERGENS 3,ALLERGENS 4,ALLERGENS 5,ALLERGENS 6,ALLERGENS 7,ALLERGENS 8,ALLERGENS 9,ALLERGENS 10,SIMPLE NAME 1,SIMPLE NAME 2,SIMPLE NAME 3,,
BELL S AMBER ALE,LEGENDS,,BEVERAGE,,,,,,,,,,,,ALCOHOL,ALCOHOL,ALCOHOL,,
BELL S TWO HEARTED IPA,LEGENDS,,BEVERAGE,,,,,,,,,,,,ALCOHOL,ALCOHOL,ALCOHOL,,
BERRY POMEGRANATE SMOOTHIE,AU BON PAIN,270,BEVERAGE,, MILK,,,,,,,,,,SMOOTHIE,BERRY,BERRY,,
BERRY SANGRIA HERBAL TEA - GRANDE,STARBUCKS,190,BEVERAGE,MILK,,,,,,,,,,,COFFEE,COFFEE,COFFEE,,
BERRY SANGRIA HERBAL TEA - TALL,STARBUCKS,120,BEVERAGE,MILK,,,,,,,,,,,COFFEE,COFFEE,COFFEE,,
BERRY SANGRIA HERBAL TEA - VENTI,STARBUCKS,120,BEVERAGE,MILK,,,,,,,,,,,COFFEE,COFFEE,COFFEE,,
BERRY SENSATION YOGURT SMOOTHIE,AU BON PAIN,280,BEVERAGE,, MILK,,,,,,,,,,SMOOTHIE,BERRY,BERRY,,
BERRY TRIO PARFAIT,STARBUCKS,240,SNACK,,,,,,,,,,,,YOGURT,BERRY,BERRY,,
BEWED COFFEE,CHARRON FAMILY,,BEVERAGE,,,,,,,,,,,,COFFEE,COFFEE,COFFEE,,
BIG BREAKFAST SANDWICH,CAFE DE GRASTA,,MEAL,,,,,,,,,,,,SANDWICH,EGGS,EGGS,,
BIG BREAKFAST WRAP,CAFE DE GRASTA,,MEAL,,,,,,,,,,,,SANDWICH,EGGS,EGGS,,
BIRTHDAY CAKE POP,STARBUCKS,170,SNACK,,,,,,,,,,,,PASTRY,CAKE,CAKE,,
BISCUITS & GRAVY,CAFE DE GRASTA,,MEAL,,,,,,,,,,,,BREAD,GRAVY,GRAVY,,
BISTRO STEAK ,ROHRS,,MEAL,,,,,,,,,,,,STEAK,STEAK,STEAK,,
BLAC BEAN QUESARITO,TACO BELL PIZZA HUT,630,MEAL,,,,,,,,,,,,BURRITO,BEEF,CHEESE,,
BLACK ANGUS ROAST BEEF & CHEDDAR (HALF SANDWICH),AU BON PAIN,290,MEAL,, EGGS, MILK, SOY, WHEAT,,,,,,,SANDWICH,BEEF,BEEF,,
BLACK ANGUS ROAST BEEF & CHEDDAR (WHOLE SANDWICH),AU BON PAIN,570,MEAL,, EGGS, MILK, SOY, WHEAT,,,,,,,SANDWICH,BEEF,BEEF,,
BLACK ANGUS STEAK & CHEESE,AU BON PAIN,690,MEAL,, EGGS, MILK, SOY, WHEAT,,,,,,,SANDWICH,CHEESE,CHEESE,,
BLACK BEAN CRUNCHWRAP SUPREME,TACO BELL PIZZA HUT,510,MEAL,,,,,,,,,,,,BURRITO,TACO,BEANS,,
BLACK BEAN SOUP (LARGE),AU BON PAIN,360,MEAL,, SOY,,,,,,,,,,SOUP,SOUP,SOUP,,
BLACK BEAN SOUP (MEDIUM),AU BON PAIN,270,MEAL,, SOY,,,,,,,,,,SOUP,SOUP,SOUP,,
BLACK BEAN SOUP (SMALL),AU BON PAIN,180,MEAL,, SOY,,,,,,,,,,SOUP,SOUP,SOUP,,
BLACK FOREST HAM,SUBWAY,120,MEAL,,WHEAT,GLUTEN,SOYBEANS,,,,,,,,SANDWICH,HAM,HAM,,
BLACK FOREST HAM (6-INCH),SUBWAY,260,MEAL,,WHEAT,GLUTEN,SOYBEANS,,,,,,,,SANDWICH,HAM,HAM,,
BLACK FOREST HAM (FOOTLONG),SUBWAY,520,MEAL,,WHEAT,GLUTEN,SOYBEANS,,,,,,,,SANDWICH,HAM,HAM,,
BLACK FOREST HAM ON TOMATO BASIL WRAP,SUBWAY,440,MEAL,,WHEAT,GLUTEN,,,,,,,,,SANDWICH,HAM,HAM,,
BLACK FOREST HAM  EGG & CHEESE FLATBREAD (6-INCH),SUBWAY,410,MEAL,,WHEAT,GLUTEN,SOYBEANS,MILK,EGG,EGG,MILK,,,,SANDWICH,CHEESE,EGGS,,
BLACK FOREST HAM  EGG & CHEESE FLATBREAD (FOOTLONG),SUBWAY,820,MEAL,,WHEAT,GLUTEN,SOYBEANS,MILK,EGG,EGG,MILK,,,,SANDWICH,CHEESE,EGGS,,
BLONDE CAFFE AMERICANO - GRANDE,STARBUCKS,15,BEVERAGE,MILK,,,,,,,,,,,COFFEE,COFFEE,COFFEE,,
BLONDE CAFFE AMERICANO - SHORT,STARBUCKS,5,BEVERAGE,MILK,,,,,,,,,,,COFFEE,COFFEE,COFFEE,,
BLONDE CAFFE AMERICANO - TALL,STARBUCKS,10,BEVERAGE,MILK,,,,,,,,,,,COFFEE,COFFEE,COFFEE,,
BLONDE CAFFE AMERICANO - VENTI,STARBUCKS,15,BEVERAGE,MILK,,,,,,,,,,,COFFEE,COFFEE,COFFEE,,
BLONDE FLAT WHITE - GRANDE,STARBUCKS,220,BEVERAGE,MILK,,,,,,,,,,,COFFEE,COFFEE,COFFEE,,
BLONDE FLAT WHITE - SHORT,STARBUCKS,110,BEVERAGE,MILK,,,,,,,,,,,COFFEE,COFFEE,COFFEE,,
BLONDE FLAT WHITE - TALL,STARBUCKS,170,BEVERAGE,MILK,,,,,,,,,,,COFFEE,COFFEE,COFFEE,,
BLONDE FLAT WHITE - VENTI,STARBUCKS,290,BEVERAGE,MILK,,,,,,,,,,,COFFEE,COFFEE,COFFEE,,
BLT (HALF SANDWICH),AU BON PAIN,240,MEAL,, EGGS, SOY, WHEAT,,,,,,,,SANDWICH,SANDWICH,SANDWICH,,
BLT (WHOLE SANDWICH),AU BON PAIN,470,MEAL,, EGGS, SOY, WHEAT,,,,,,,,SANDWICH,SANDWICH,SANDWICH,,
BLT PIADINAS,PIZZA PI,,MEAL,,,,,,,,,,,,SANDWICH,BACON,TOMATO,,
BLUE CHEESE & BACON DIP,LEGENDS,,MEAL,,, ,,,,,,,,,BACON,CHEESE ,CHIPS,,
BLUEBERRY GINGER LEMONADE,STAR GINGER,,BEVERAGE,,,,,,,,,,,,JUICE,JUICE,JUICE,,
BLUEBERRY MUFFIN,AU BON PAIN,480,SNACK,, EGGS, MILK, SOY, WHEAT, PECAN, WALNUT,,,,,PASTRY,BERRY,BERRY,,
BLUEBERRY MUFFIN,AU BON PAIN CART,480,SNACK,, EGGS, MILK, SOY, WHEAT, PECAN, WALNUT,,,,,PASTRY,BERRY,BERRY,,
BLUEBERRY MUFFIN,STARBUCKS,360,SNACK,,,,,,,,,,,,SNACK,BERRY,BERRY,,
BLUEBERRY PESTO SANDWHICH,MODERN MARKET,460,MEAL,,,,,,,,,,,,SANDWICH,BLUEBERRY,BLUEBERRY,,
BLUEBERRY SCONE,STARBUCKS,380,SNACK,,,,,,,,,,,,PASTRY,BERRY,BERRY,,
BLUEBERRY YOGURT & WILD BLUEBERRY PARFAIT,AU BON PAIN,380,SNACK,, MILK, COCONUT, PECAN,,,,,,,,YOGURT,BERRY,BERRY,,
BON TO GO - CAPRESE CHICKEN,AU BON PAIN,310,MEAL,, MILK, SOY,,,,,,,,,CHICKEN,CHICKEN,CHICKEN,,
BON TO GO - CAPRESE CHICKEN,AU BON PAIN,310,MEAL,, MILK, SOY,,,,,,,,,CHICKEN,CHICKEN,CHICKEN,,
BON TO GO - CHEESE & FRUIT,AU BON PAIN,390,MEAL,, MILK, SOY, WHEAT, SESAME,,,,,,,FRUIT,CHEESE,CHEESE,,
BON TO GO - CHEESE & FRUIT,AU BON PAIN,390,MEAL,, MILK, SOY, WHEAT, SESAME,,,,,,,FRUIT,CHEESE,CHEESE,,
BON TO GO - EGG  VEGGIE & CHEESE,AU BON PAIN,380,MEAL,, EGGS, MILK, SOY, WHEAT,,,,,,,EGGS,VEGETABLES,VEGETABLES,,
BON TO GO - EGG  VEGGIE & CHEESE,AU BON PAIN,380,MEAL,, EGGS, MILK, SOY, WHEAT,,,,,,,EGGS,CHEESE,CHEESE,,
BON TO GO - FRUIT  EGGS & NUTS,AU BON PAIN,500,MEAL,, EGGS, MILK, ALMOND, CASHEW,,,,,,,FRUIT,CHEESE,CHEESE,,
BON TO GO - FRUIT  EGGS & NUTS,AU BON PAIN,500,MEAL,, EGGS, MILK, ALMOND, CASHEW,,,,,,,FRUIT,CHEESE,CHEESE,,
BON TO GO - HARD BOILED EGGS,AU BON PAIN,140,MEAL,, EGGS,,,,,,,,,,EGGS,CHEESE,CHEESE,,
