,,,,,,,,,,,,,,,,,
NAME,REST_NAME,CALORIES,CATEGORY,PRICE,ALLERGEN 1,ALLERGEN 2,ALLERGEN 3,ALLERGEN 4,ALLERGEN 5,ALLERGEN 6,ALLERGEN 7,ALLERGEN 8,ALLERGEN 9,ALLERGEN 10,SIMPLE NAME 1,SIMPLE NAME 2,SIMPLE NAME 3
SAUSAGE AND SUN-DRIED TOMATO STRATA,SDH,359,DINING HALL,,EGGS,MILK,SOY,WHEAT,,,,,,,MEAT,MEAT,MEAT
ELI'S BREAKFAST SANDWICH,SDH,360,DINING HALL,,EGGS,MILK,SOY,WHEAT,,,,,,,MEAT,MEAT,MEAT
JALAPENO CHEDDAR CORNBREAD,SDH,360,DINING HALL,,EGGS,MILK,SOY,WHEAT,,,,,,,BREAD,BREAD,BREAD
CRACKLIN OAT BRAN,SDH,363,DINING HALL,,SOY,MILK,TREE NUTS,WHEAT,,,,,,,CEREAL,CEREAL,CEREAL
RAISIN BRAN MUFFIN,SDH,376,DINING HALL,,EGGS,MILK,SOY,WHEAT,,,,,,,BREAD,BREAD,BREAD
VEGAN IMPOSSIBLE SLIDERS,SDH,378,DINING HALL,,EGGS,MILK,SOY,WHEAT,,,,,,,BURGER,BURGER,BURGER
LINGUINE CARBONARA,SDH,384,DINING HALL,,EGGS,MILK,WHEAT,,,,,,,,PASTA,PASTA,PASTA
DESSERT BAR BLONDIE TOFFEE CRUNCH,SDH,387,DINING HALL,,EGGS,MILK,TREE NUTS,WHEAT,,,,,,,BROWNIE,BROWNIE,BROWNIE
FRENCH TOAST CASSEROLE,SDH,388,DINING HALL,,EGGS,MILK,SOY,WHEAT,,,,,,,BREAD,BREAD,BREAD
NY STYLE CHEESECAKE,SDH,404,DINING HALL,,EGGS,MILK,SOY,WHEAT,,,,,,,CAKE,CAKE,CAKE
BUFFALO CHICKEN SALAD,SDH,427,DINING HALL,,EGGS,MILK,WHEAT,,,,,,,,MEAT,MEAT,MEAT
BLUEBERRY MUFFIN,SDH,431,DINING HALL,,EGGS,MILK,SOY,WHEAT,,,,,,,BREAD,BREAD,BREAD
PORT A PIT BBQ CHICKEN,SDH,434,DINING HALL,,FISH,MILK,SOY,,,,,,,,MEAT,MEAT,MEAT
EGG AND CHEESE BISCUIT,SDH,439,DINING HALL,,EGGS,MILK,SOY,WHEAT,,,,,,,EGGS,EGGS,EGGS
LEMON POPPYSEED MUFFIN,SDH,439,DINING HALL,,EGGS,MILK,SOY,WHEAT,,,,,,,BREAD,BREAD,BREAD
REESE PEANUT BUTTER CUP CHEESECAKE,SDH,458,DINING HALL,,EGGS,MILK,PEANUTS,SOY,WHEAT,,,,,,CAKE,CAKE,CAKE
TURTLE CHEESECAKE WITH PECANS,SDH,461,DINING HALL,,EGGS,MILK,PEANUTS,SOY,TREE NUTS,WHEAT,,,,,CAKE,CAKE,CAKE
BUTTER RUM MUFFIN,SDH,464,DINING HALL,,EGGS,MILK,SOY,WHEAT,,,,,,,BREAD,BREAD,BREAD
BELGIAN WAFFLES,SDH,469,DINING HALL,,EGGS,MILK,SOY,WHEAT,,,,,,,WAFFLES,WAFFLES,WAFFLES
